company_id,company_name_public,sic_code,regional_folder,website_available,website_text_status,quality_flag,n_pages,company_text_length,crawl_date
RMCT_COMP_0146,Cardinal Steels Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,6708,not_publicly_released_in_current_extract
RMCT_COMP_0147,Central Birmingham Springs Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,6661,not_publicly_released_in_current_extract
RMCT_COMP_0148,Central Fabrications Midlands Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,4495,not_publicly_released_in_current_extract
RMCT_COMP_0149,Central Garage Doors Holding Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,31318,not_publicly_released_in_current_extract
RMCT_COMP_0150,Centri Tech Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,3070,not_publicly_released_in_current_extract
RMCT_COMP_0151,Ch Barnett Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,10499,not_publicly_released_in_current_extract
RMCT_COMP_0152,Charles Watts Engineering Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,13061,not_publicly_released_in_current_extract
RMCT_COMP_0153,Coolmetal Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,2764,not_publicly_released_in_current_extract
RMCT_COMP_0154,D A Profiles Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,7671,not_publicly_released_in_current_extract
RMCT_COMP_0155,Dalair Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,5310,not_publicly_released_in_current_extract
RMCT_COMP_0156,Datum Systems Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,3798,not_publicly_released_in_current_extract
RMCT_COMP_0157,Davalow Dorlec Systems Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,7075,not_publicly_released_in_current_extract
RMCT_COMP_0158,Davicon Mezzanine Floors Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,4063,not_publicly_released_in_current_extract
RMCT_COMP_0159,De Met Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,9184,not_publicly_released_in_current_extract
RMCT_COMP_0160,Denvic Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,8311,not_publicly_released_in_current_extract
RMCT_COMP_0161,Dp 2000 Sheet Metal Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,2334,not_publicly_released_in_current_extract
RMCT_COMP_0162,Dynatherm Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,1818,not_publicly_released_in_current_extract
RMCT_COMP_0163,Equip Tamworth Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,3794,not_publicly_released_in_current_extract
RMCT_COMP_0164,Exact Precision Engineering Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,5134,not_publicly_released_in_current_extract
RMCT_COMP_0165,Fastline International Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,2645,not_publicly_released_in_current_extract
RMCT_COMP_0166,Fastline Steel Services Uk Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,2649,not_publicly_released_in_current_extract
RMCT_COMP_0167,Finish Facades Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,13617,not_publicly_released_in_current_extract
RMCT_COMP_0168,Flavell Precision Engineering Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,1620,not_publicly_released_in_current_extract
RMCT_COMP_0169,Fluesafe Designs Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable,1,2743,not_publicly_released_in_current_extract
RMCT_COMP_0170,Forgeco Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,8460,not_publicly_released_in_current_extract
RMCT_COMP_0171,Fort Jason Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,13276,not_publicly_released_in_current_extract
RMCT_COMP_0172,Forth Engineering Limited,25110,Metal_Structures___Fabrication,True,PARTIAL,short_but_usable,1,928,not_publicly_released_in_current_extract
RMCT_COMP_0173,Foundry Projects Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,6253,not_publicly_released_in_current_extract
RMCT_COMP_0174,Gibson Centri Tech Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,9074,not_publicly_released_in_current_extract
RMCT_COMP_0175,Gileskips Manufacturers Ltd,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,3842,not_publicly_released_in_current_extract
RMCT_COMP_0176,Giltbuild Limited,25110,Metal_Structures___Fabrication,True,SUCCESS,usable_rich,1,4685,not_publicly_released_in_current_extract
